iter	MultiClass
0	-0.6671026555
1	-0.642322718
2	-0.6190435385
3	-0.5969698694
4	-0.5758890831
5	-0.556035798
6	-0.5372541038
7	-0.5193110369
8	-0.5023022426
9	-0.4860228814
10	-0.470588741
11	-0.4558975459
12	-0.4417900568
13	-0.4283586365
14	-0.4153564311
15	-0.4030248531
16	-0.3912722337
17	-0.3799525326
18	-0.3689752891
19	-0.3584822726
20	-0.3484542824
21	-0.3387778214
22	-0.3295696676
23	-0.320674018
24	-0.3121230135
25	-0.3039200422
26	-0.2960477903
27	-0.288433167
28	-0.2810012902
29	-0.2739372019
30	-0.2671453984
31	-0.2606494679
32	-0.2542964539
33	-0.2480720758
34	-0.2421487512
35	-0.2363793798
36	-0.2309497448
37	-0.2256803922
38	-0.220416623
39	-0.2154776047
40	-0.2107277887
41	-0.2061608613
42	-0.2016173993
43	-0.1971960845
44	-0.1930406714
45	-0.1890102375
46	-0.184999965
47	-0.1812323489
48	-0.1774789858
49	-0.1738921009
50	-0.1705269151
51	-0.1671595581
52	-0.1637530103
53	-0.1607030066
54	-0.1577623486
55	-0.15465194
56	-0.1516610836
57	-0.1487184339
58	-0.1459457354
59	-0.1431662612
60	-0.1405638741
61	-0.1380248269
62	-0.1356162865
63	-0.1331367649
64	-0.1308586004
65	-0.1288243506
66	-0.1266605338
67	-0.1246894448
68	-0.1228005919
69	-0.120870481
70	-0.1188402841
71	-0.1170083777
72	-0.1153451942
73	-0.1135137507
74	-0.1119842863
75	-0.1102001604
76	-0.1087071315
77	-0.1070618975
78	-0.1054908095
79	-0.1039569858
80	-0.1023650112
81	-0.1009076582
82	-0.09951122043
83	-0.09811661123
84	-0.09667479999
85	-0.09538553377
86	-0.09403576786
87	-0.09280224905
88	-0.09165945477
89	-0.09050665702
90	-0.08930020875
91	-0.08829380216
92	-0.08711869513
93	-0.08620535036
94	-0.08513263612
95	-0.08404977068
96	-0.08301339961
97	-0.08191680579
98	-0.0808863981
99	-0.0799068059
100	-0.07906123812
101	-0.07804677569
102	-0.07707290287
103	-0.07637958563
104	-0.07545766725
105	-0.07462343629
106	-0.07373180583
107	-0.07286362484
108	-0.07201202733
109	-0.07119819472
110	-0.07045433012
111	-0.069670943
112	-0.0689993584
113	-0.06829904534
114	-0.06764288449
115	-0.06693517151
116	-0.06621895721
117	-0.06553333702
118	-0.06490692831
119	-0.06425079873
120	-0.06361472258
121	-0.06307099599
122	-0.06250408186
123	-0.06212801795
124	-0.06163713174
125	-0.06112012588
126	-0.06056805647
127	-0.05997574723
128	-0.05938897429
129	-0.0588555203
130	-0.05833969916
131	-0.05778207063
132	-0.0572277847
133	-0.05675980334
134	-0.056313816
135	-0.05582312865
136	-0.05529872923
137	-0.05483708868
138	-0.05440319463
139	-0.05392681851
140	-0.05346200084
141	-0.05298953348
142	-0.05256424456
143	-0.05212965903
144	-0.05172731774
145	-0.05125040949
146	-0.05079676835
147	-0.05049432893
148	-0.05014135904
149	-0.04977036976
150	-0.04938759955
151	-0.0489833681
152	-0.04858389896
153	-0.04818607181
154	-0.04787391914
155	-0.04752318667
156	-0.04713529459
157	-0.04679828318
158	-0.04650968377
159	-0.04623604261
160	-0.04588565117
161	-0.04553985461
162	-0.0452533758
163	-0.04494991252
164	-0.04468875315
165	-0.04441427051
166	-0.04415631015
167	-0.04398239034
168	-0.04366256418
169	-0.04333581532
170	-0.04310193451
171	-0.0428515619
172	-0.04256304388
173	-0.04240045591
174	-0.04221740422
175	-0.04198328246
176	-0.04165665767
177	-0.04143278319
178	-0.04117791575
179	-0.04095768415
180	-0.04066780165
181	-0.04039984341
182	-0.04020350797
183	-0.0400028552
184	-0.03976455153
185	-0.03965031623
186	-0.0394521913
187	-0.03918093493
188	-0.03901385412
189	-0.03876563145
190	-0.03854282731
191	-0.03840853424
192	-0.0382050175
193	-0.03802619423
194	-0.03781096709
195	-0.03755130828
196	-0.03738403543
197	-0.03722090563
198	-0.03698050794
199	-0.03685516019
