iter	Passed	Remaining
0	96	19121
1	182	18073
2	272	17888
3	375	18387
4	486	18965
5	576	18629
6	670	18497
7	760	18252
8	859	18245
9	1054	20044
10	1157	19895
11	1254	19661
12	1381	19872
13	1479	19650
14	1570	19374
15	1673	19249
16	1776	19120
17	1884	19050
18	1981	18880
19	2085	18773
20	2197	18729
21	2291	18537
22	2392	18409
23	2506	18378
24	2598	18192
25	2690	18004
26	2784	17842
27	2871	17642
28	2962	17467
29	3069	17392
30	3160	17229
31	3250	17065
32	3346	16933
33	3449	16839
34	3560	16787
35	3669	16717
36	3760	16567
37	3861	16463
38	3953	16322
39	4041	16167
40	4139	16053
41	4238	15944
42	4326	15796
43	4427	15696
44	4517	15561
45	4631	15505
46	4737	15422
47	4825	15281
48	4921	15166
49	5026	15078
50	5135	15003
51	5244	14926
52	5350	14840
53	5444	14720
54	5539	14604
55	5656	14544
56	5764	14461
57	5867	14364
58	5961	14247
59	6050	14117
60	6145	14003
61	6234	13876
62	6324	13753
63	6422	13646
64	6540	13583
65	6651	13504
66	6763	13426
67	6865	13328
68	6969	13231
69	7057	13106
70	7159	13008
71	7258	12904
72	7352	12791
73	7455	12694
74	7546	12577
75	7636	12460
76	7731	12349
77	7822	12235
78	7914	12122
79	8016	12024
80	8108	11912
81	8200	11800
82	8297	11696
83	8388	11584
84	8477	11469
85	8570	11361
86	8661	11250
87	8751	11137
88	8844	11031
89	8934	10919
90	9049	10839
91	9157	10750
92	9261	10656
93	9357	10551
94	9447	10441
95	9550	10346
96	9641	10238
97	9734	10132
98	9837	10036
99	9928	9928
100	10018	9820
101	10158	9759
102	10265	9667
103	10369	9571
104	10483	9485
105	10578	9381
106	10681	9283
107	10772	9176
108	10881	9084
109	10974	8979
110	11064	8871
111	11232	8825
112	11331	8724
113	11469	8652
114	11558	8543
115	11647	8434
116	11743	8330
117	11830	8220
118	11918	8112
119	12005	8003
120	12092	7895
121	12178	7786
122	12265	7678
123	12351	7570
124	12438	7463
125	12525	7356
126	12612	7249
127	12698	7142
128	12785	7037
129	12873	6931
130	12960	6826
131	13050	6723
132	13136	6617
133	13223	6513
134	13311	6409
135	13399	6305
136	13486	6202
137	13584	6103
138	13670	5999
139	13757	5895
140	13851	5795
141	13937	5692
142	14026	5590
143	14120	5491
144	14210	5390
145	14338	5303
146	14429	5202
147	14518	5101
148	14611	5001
149	14698	4899
150	14787	4798
151	14880	4699
152	14976	4600
153	15065	4500
154	15156	4400
155	15243	4299
156	15330	4198
157	15417	4098
158	15503	3997
159	15590	3897
160	15683	3799
161	15771	3699
162	15857	3599
163	15947	3500
164	16036	3401
165	16123	3302
166	16213	3203
167	16303	3105
168	16395	3007
169	16490	2910
170	16576	2811
171	16662	2712
172	16754	2614
173	16843	2516
174	16931	2418
175	17027	2321
176	17115	2224
177	17204	2126
178	17291	2028
179	17378	1930
180	17465	1833
181	17555	1736
182	17641	1638
183	17727	1541
184	17815	1444
185	17900	1347
186	17987	1250
187	18075	1153
188	18162	1057
189	18250	960
190	18339	864
191	18426	767
192	18515	671
193	18604	575
194	18691	479
195	18778	383
196	18863	287
197	18950	191
198	19039	95
199	19126	0
